b_id,x_ref_um,y_ref_um,ts,defect_type
B001,2208.0,294.0,2024-01-01T10:00:30Z,scratch
B002,2188.0,309.0,2024-01-01T10:00:45Z,scratch
B003,6010.0,1697.0,2024-01-01T10:02:30Z,scratch
B004,2035.194,908.197,2024-01-01T11:04:00Z,scratch
B005,3324.393,792.219,2024-01-01T11:05:00Z,scratch
B006,7485.296,1564.422,2024-01-01T11:06:00Z,stain
B007,8313.929,6407.419,2024-01-01T11:07:00Z,scratch
B008,6170.18,6332.401,2024-01-01T11:08:00Z,scratch
B009,1200.533,4699.472,2024-01-01T11:09:00Z,pit
B010,7756.604,6494.978,2024-01-01T11:10:00Z,particle
B011,8260.481,5044.104,2024-01-01T11:11:00Z,pit
B012,6095.897,2546.299,2024-01-01T11:12:00Z,pit
B013,5982.856,4576.288,2024-01-01T11:13:00Z,stain
